TAZ_NODE,TAZ_SEQ,COUNTY,county_name,COUNTYFP10,TRACTCE10,PUMA10,PUMA20,DistID,DistName,TAZ_X,TAZ_Y
400498,4054,5,Contra Costa,013,337200,01306,01313,21,Concord & Martinez,-122.02790575382113,37.96219265413089
400499,4055,5,Contra Costa,013,337200,01306,01313,21,Concord & Martinez,-122.02491503365837,37.95649748817432
400500,4056,5,Contra Costa,013,337200,01306,01313,21,Concord & Martinez,-122.03255556905042,37.95536207984258
400501,4057,5,Contra Costa,013,337200,01306,01313,21,Concord & Martinez,-122.02888018636146,37.94830870607568
400502,4058,5,Contra Costa,013,337200,01306,01313,21,Concord & Martinez,-122.02045121407707,37.94883451233782
400503,4059,5,Contra Costa,013,337200,01306,01313,21,Concord & Martinez,-122.02356908482903,37.943225727461105
400504,4060,5,Contra Costa,013,337300,01306,01313,22,Walnut Creek,-122.01456297683859,37.94223376755985
400505,4061,5,Contra Costa,013,355302,01306,01313,22,Walnut Creek,-122.0059666344963,37.91819611026072
400506,4062,5,Contra Costa,013,315000,01307,01314,21,Concord & Martinez,-122.0011917356552,38.027983706341246
400507,4063,5,Contra Costa,013,301000,01309,01309,24,Antioch & Pittsburg,-121.62811676422483,38.03728624579728
400508,4064,5,Contra Costa,013,355107,01308,01308,24,Antioch & Pittsburg,-121.83818249270524,37.98099348257925
400509,4065,5,Contra Costa,013,303103,01309,01309,24,Antioch & Pittsburg,-121.68681394645081,37.94706270039543
400510,4066,5,Contra Costa,013,303103,01309,01309,24,Antioch & Pittsburg,-121.68416511984456,37.925405049957064
400511,4067,5,Contra Costa,013,305000,01308,01308,24,Antioch & Pittsburg,-121.82394242872955,38.00917117411829
400512,4068,5,Contra Costa,013,315000,01307,01314,21,Concord & Martinez,-121.99789081784849,38.0515974686137
400513,4069,5,Contra Costa,013,358000,01303,01310,20,Richmond & El Cerrito,-122.27061474208698,38.035188070424965
400514,4070,5,Contra Costa,013,358000,01303,01310,20,Richmond & El Cerrito,-122.26466291064644,38.03652256258114
400515,4071,5,Contra Costa,013,358000,01303,01310,20,Richmond & El Cerrito,-122.26340584108354,38.02863618600211
400516,4072,5,Contra Costa,013,358000,01303,01310,20,Richmond & El Cerrito,-122.26185352494389,38.03161375478942
400517,4073,5,Contra Costa,013,366002,01301,01301,20,Richmond & El Cerrito,-122.35304172529538,37.97141218825876
400518,4074,5,Contra Costa,013,304005,01309,01309,24,Antioch & Pittsburg,-121.61494235021978,37.92515138611096
400520,4075,5,Contra Costa,013,319000,01303,01311,21,Concord & Martinez,-122.12630201987953,38.00916832853181
400521,4076,5,Contra Costa,013,319000,01303,01311,21,Concord & Martinez,-122.12177110125313,38.01139585008564
400522,4077,5,Contra Costa,013,356002,01303,01311,20,Richmond & El Cerrito,-122.20652716937691,37.94052405796393
400523,4078,5,Contra Costa,013,320004,01303,01311,21,Concord & Martinez,-122.07510753682627,38.00314887738329
400524,4079,5,Contra Costa,013,321102,01303,01311,21,Concord & Martinez,-122.105606480826,37.97733690369221
400525,4080,5,Contra Costa,013,321102,01303,01311,21,Concord & Martinez,-122.0823733571778,37.97276010230928
400526,4081,5,Contra Costa,013,321102,01303,01311,21,Concord & Martinez,-122.09472457980404,37.97043873689231
400527,4082,5,Contra Costa,013,321103,01303,01311,21,Concord & Martinez,-122.11377767390911,37.970854135268496
400528,4083,5,Contra Costa,013,337300,01306,01313,22,Walnut Creek,-121.99827905279383,37.94735733643041
400529,4084,5,Contra Costa,013,337300,01306,01313,22,Walnut Creek,-122.00409743048137,37.94310520735174
400530,4085,5,Contra Costa,013,337300,01306,01313,22,Walnut Creek,-122.01903134288746,37.93850089587482
400531,4086,5,Contra Costa,013,338101,01306,01313,21,Concord & Martinez,-122.04118262157392,37.951424494283486
400532,4087,5,Contra Costa,013,338201,01306,01313,22,Walnut Creek,-122.03601478215188,37.93628315281477
400533,4088,5,Contra Costa,013,338201,01306,01313,22,Walnut Creek,-122.02877248609826,37.92930144450715
400534,4089,5,Contra Costa,013,345105,01305,01305,23,Danville & San Ramon,-121.98024737015501,37.79784722971472
400535,4090,5,Contra Costa,013,345105,01305,01305,23,Danville & San Ramon,-121.9825924430453,37.80347396039111
400537,4091,5,Contra Costa,013,303204,01309,01309,24,Antioch & Pittsburg,-121.70258477954714,37.92800154103623
400538,4092,5,Contra Costa,013,304003,01309,01309,24,Antioch & Pittsburg,-121.5978609797336,37.90787805276803
400539,4093,5,Contra Costa,013,302007,01309,01309,24,Antioch & Pittsburg,-121.70500430790095,37.980946925771875
400540,4094,5,Contra Costa,013,357000,01303,01310,20,Richmond & El Cerrito,-122.19771444648316,38.03807358843713
400542,4095,5,Contra Costa,013,389100,01302,01310,20,Richmond & El Cerrito,-122.29921892430299,37.904620586707985
400543,4096,5,Contra Costa,013,389100,01302,01310,20,Richmond & El Cerrito,-122.29759786882224,37.90110935594365
400544,4097,5,Contra Costa,013,389200,01301,01301,20,Richmond & El Cerrito,-122.30632218814397,37.9025384552461
400545,4098,5,Contra Costa,013,389200,01301,01301,20,Richmond & El Cerrito,-122.30455945226512,37.900147280858405
400546,4099,5,Contra Costa,013,368001,01301,01301,20,Richmond & El Cerrito,-122.35318156358409,37.95571932080985
400547,4100,5,Contra Costa,013,368001,01301,01301,20,Richmond & El Cerrito,-122.34912599809877,37.95533288073622
400548,4101,5,Contra Costa,013,369001,01301,01301,20,Richmond & El Cerrito,-122.34450279013824,37.95773593452879
400550,4102,5,Contra Costa,013,314103,01307,01314,24,Antioch & Pittsburg,-121.95386561286506,38.03306880909643
400551,4103,5,Contra Costa,013,314103,01307,01314,24,Antioch & Pittsburg,-121.94229133841748,38.03793462846518
400552,4104,5,Contra Costa,013,338102,01306,01313,21,Concord & Martinez,-122.04964339500268,37.940845452795756
