GEOID10,MAZ_NODE,TAZ_NODE
060014007002000,312275,301084
060014007002001,312275,301084
060014007002002,319576,300241
060014007002003,319576,300241
060014007002004,316853,300241
060014007002005,316853,300241
060014007002006,316853,300241
060014007002007,314423,300241
060014007002008,314423,300241
060014007002009,324127,300241
060014007002010,325046,300241
060014007002011,316853,300241
060014007002012,325046,300241
060014007002013,332906,300241
060014007002014,315121,301084
060014007002015,315121,301084
060014007002016,311596,301085
060014007002017,311596,301085
060014007002018,315576,300241
060014007002019,325046,300241
060014007002020,325046,300241
060014007002021,311596,301085
060014007002022,327797,301085
060014007002023,327800,301085
060014007002024,316853,300241
060014007002025,311596,301085
060014007003000,321001,301086
060014007003001,321001,301086
060014007003002,321000,300166
060014007003003,310477,300166
060014007003004,318878,300166
060014007003005,318878,300166
060014007003006,318878,300166
060014007003007,318878,300166
060014007003008,315578,300166
060014007003009,315578,300166
060014007003010,315578,300166
060014007003011,315578,300166
060014007003012,327615,300166
060014007003013,327801,300166
060014007003014,310659,301086
060014007003015,310659,301086
060014007003016,315578,300166
060014007004000,318891,301087
060014007004001,318891,301087
060014007004002,318891,301087
060014007004003,312276,300167
060014007004004,310661,301087
060014007004005,310478,300167
060014007004006,312276,300167
060014007004007,310478,300167
060014007004008,310478,300167
060014007004009,310476,300167
060014007004010,310661,301087
060014007004011,315590,300167
060014007004012,327616,300167
060014007004013,328503,300167
060014007004014,328503,300167
060014007004015,328503,300167
060014007004016,310476,300167
060014007004017,310476,300167
060014007004018,310476,300167
060014007004019,310476,300167
060014007004020,310476,300167
060014007004021,330061,301087
060014007004022,327799,300167
060014007004023,324826,300167
060014007004024,324826,300167
060014007004025,330061,301087
060014007004026,330061,301087
060014007004027,328503,300167
060014007004028,328503,300167
060014007004029,328503,300167
060014007004030,328503,300167
060014008001000,325014,300339
060014008001001,325014,300339
060014008001002,325014,300339
060014008001003,333082,300339
060014008001004,333082,300339
060014008001005,330646,300339
060014008001006,321651,300339
060014008001007,330925,300339
060014008001008,330925,300339
060014008001009,330925,300339
060014008001010,326831,300339
060014008001011,326831,300339
060014008001012,325024,300339
060014008001013,333082,300339
060014008001014,333082,300339
060014008001015,331474,300339
060014008001016,325024,300339
060014008001017,325024,300339
060014008001018,315566,300339
060014008001019,333082,300339
060014008001020,333082,300339
060014008001021,333082,300339
060014008001022,330925,300339
060014008001023,331474,300339
060014008001024,331474,300339
060014008001025,320090,300339
060014008001026,310278,300339
060014008001027,325680,300339
060014008001028,330925,300339
060014008001029,326831,300339
060014008002000,332231,300766
060014008002001,325878,300766
060014008002002,314453,300766
060014008002003,314453,300766
060014008002004,310269,300766
