"","Timestamp","Metric","Value"
"122",2025-05-19 08:39:11.774,"Available MBytes",1528557
"123",2025-05-19 08:39:11.774,"Pages/sec",39.2999551980511
"124",2025-05-19 08:39:11.774,"Bytes Total/sec",531.632727272024
"125",2025-05-19 08:39:11.774,"Avg. Disk sec/Read",0.0037211
"126",2025-05-19 08:39:11.774,"Avg. Disk sec/Write",0.00891685157894737
"127",2025-05-19 08:39:11.774,"Current Disk Queue Length",0
"128",2025-05-19 08:39:11.774,"% Processor Time",0.296953166837344
"129",2025-05-19 08:39:11.774,"Context Switches/sec",6115.19302867995
"130",2025-05-19 08:39:11.774,"Processor Queue Length",0
"131",2025-05-19 08:39:41.777,"% Committed Bytes In Use",2.74549294327048
"132",2025-05-19 08:39:41.777,"Available MBytes",1530857
"133",2025-05-19 08:39:41.777,"Pages/sec",0.266665710225653
"134",2025-05-19 08:39:41.777,"Bytes Total/sec",1212.09565261693
"135",2025-05-19 08:39:41.777,"Avg. Disk sec/Read",0.0016333
"136",2025-05-19 08:39:41.777,"Avg. Disk sec/Write",0.00953092820512821
"137",2025-05-19 08:39:41.777,"Current Disk Queue Length",0
"138",2025-05-19 08:39:41.777,"% Processor Time",0.170961168303108
"139",2025-05-19 08:39:41.777,"Context Switches/sec",6269.57751311532
"140",2025-05-19 08:39:41.777,"Processor Queue Length",0
"141",2025-05-19 08:40:11.795,"% Committed Bytes In Use",2.92724829700944
"142",2025-05-19 08:40:11.795,"Available MBytes",1527877
"143",2025-05-19 08:40:11.795,"Pages/sec",0.433109506671381
"144",2025-05-19 08:40:11.795,"Bytes Total/sec",1280.13843725701
"145",2025-05-19 08:40:11.795,"Avg. Disk sec/Read",0.00224986666666667
"146",2025-05-19 08:40:11.795,"Avg. Disk sec/Write",0.00070500989010989
"147",2025-05-19 08:40:11.795,"Current Disk Queue Length",0
"148",2025-05-19 08:40:11.795,"% Processor Time",0.214470868787153
"149",2025-05-19 08:40:11.795,"Context Switches/sec",6280.3210595463
"150",2025-05-19 08:40:11.795,"Processor Queue Length",0
"151",2025-05-19 08:40:41.783,"% Committed Bytes In Use",2.91177160174394
