weighted_hhwrks0,weighted_hhwrks1,weighted_hhwrks2,weighted_hhwrks3p,weighted_ownkidsyes,weighted_rentkidsyes,weighted_ownkidsno,weighted_rentkidsno,taz,county_fips,TAZ1454
94.0,371.0,772.0,142.0,293.0,183.0,365.0,538.0,124,06075,124
221.0,671.0,347.0,221.0,400.0,252.0,649.0,159.0,1240,06095,1240
550.0,541.0,240.0,19.0,114.0,366.0,233.0,637.0,1241,06095,1241
550.0,747.0,582.0,275.0,328.0,225.0,1174.0,427.0,1242,06095,1242
709.0,542.0,410.0,129.0,168.0,410.0,692.0,520.0,1243,06095,1243
392.0,498.0,446.0,194.0,327.0,363.0,675.0,165.0,1244,06095,1244
443.0,583.0,543.0,154.0,359.0,422.0,839.0,103.0,1245,06095,1245
161.0,351.0,397.0,220.0,342.0,36.0,672.0,79.0,1246,06095,1246
115.0,666.0,1082.0,242.0,818.0,135.0,1059.0,93.0,1247,06095,1247
349.0,351.0,858.0,99.0,734.0,161.0,695.0,67.0,1248,06095,1248
337.0,528.0,864.0,209.0,397.0,231.0,842.0,468.0,1249,06095,1249
134.0,435.0,414.0,187.0,206.0,102.0,571.0,291.0,125,06075,125
316.0,614.0,524.0,276.0,289.0,522.0,564.0,355.0,1250,06095,1250
550.0,1068.0,680.0,220.0,338.0,581.0,965.0,634.0,1251,06095,1251
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1252,06095,1252
144.0,327.0,480.0,225.0,357.0,198.0,420.0,201.0,1253,06095,1253
290.0,560.0,561.0,387.0,388.0,167.0,1001.0,242.0,1254,06095,1254
407.0,482.0,511.0,272.0,223.0,286.0,555.0,608.0,1255,06095,1255
504.0,679.0,269.0,212.0,342.0,248.0,742.0,332.0,1256,06095,1256
263.0,340.0,261.0,144.0,206.0,116.0,369.0,317.0,1257,06095,1257
229.0,723.0,450.0,87.0,283.0,454.0,399.0,353.0,1258,06095,1258
514.0,537.0,532.0,254.0,229.0,530.0,558.0,520.0,1259,06095,1259
199.0,476.0,414.0,251.0,258.0,344.0,515.0,223.0,126,06075,126
266.0,652.0,245.0,84.0,261.0,417.0,293.0,276.0,1260,06095,1260
252.0,374.0,530.0,161.0,264.0,237.0,704.0,112.0,1261,06095,1261
99.0,277.0,156.0,20.0,23.0,184.0,68.0,277.0,1262,06095,1262
338.0,282.0,243.0,84.0,55.0,289.0,217.0,386.0,1263,06095,1263
370.0,961.0,485.0,125.0,259.0,693.0,433.0,556.0,1264,06095,1264
131.0,447.0,443.0,139.0,132.0,332.0,329.0,367.0,1265,06095,1265
396.0,502.0,366.0,197.0,267.0,263.0,512.0,419.0,1266,06095,1266
338.0,341.0,282.0,119.0,187.0,32.0,607.0,254.0,1267,06095,1267
442.0,330.0,320.0,69.0,217.0,8.0,691.0,245.0,1268,06095,1268
804.0,700.0,469.0,192.0,322.0,205.0,1043.0,595.0,1269,06095,1269
402.0,513.0,726.0,132.0,192.0,184.0,771.0,626.0,127,06075,127
375.0,1038.0,915.0,671.0,1083.0,490.0,1196.0,230.0,1270,06095,1270
164.0,564.0,838.0,200.0,723.0,178.0,772.0,93.0,1271,06095,1271
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1272,06095,1272
334.0,640.0,372.0,240.0,373.0,147.0,617.0,449.0,1273,06095,1273
645.0,695.0,645.0,132.0,101.0,503.0,789.0,724.0,1274,06095,1274
331.0,569.0,295.0,198.0,291.0,262.0,382.0,458.0,1275,06095,1275
164.0,436.0,428.0,172.0,253.0,262.0,337.0,348.0,1276,06095,1276
324.0,587.0,705.0,163.0,485.0,224.0,852.0,218.0,1277,06095,1277
347.0,268.0,469.0,273.0,352.0,92.0,829.0,84.0,1278,06095,1278
590.0,1136.0,842.0,306.0,739.0,274.0,1262.0,599.0,1279,06095,1279
250.0,908.0,1063.0,144.0,340.0,122.0,802.0,1101.0,128,06075,128
1373.0,699.0,406.0,209.0,87.0,105.0,1462.0,1033.0,1280,06095,1280
526.0,939.0,850.0,168.0,422.0,603.0,587.0,871.0,1281,06095,1281
150.0,498.0,154.0,139.0,143.0,64.0,647.0,87.0,1282,06095,1282
341.0,639.0,337.0,88.0,161.0,262.0,658.0,324.0,1283,06095,1283
484.0,748.0,539.0,134.0,236.0,217.0,1008.0,444.0,1284,06095,1284
603.0,729.0,402.0,184.0,435.0,135.0,1217.0,131.0,1285,06095,1285
524.0,491.0,542.0,144.0,199.0,102.0,1158.0,242.0,1286,06095,1286
385.0,288.0,311.0,132.0,69.0,181.0,580.0,286.0,1287,06095,1287
381.0,522.0,605.0,193.0,537.0,173.0,949.0,42.0,1288,06095,1288
462.0,1059.0,1028.0,292.0,646.0,362.0,1006.0,827.0,1289,06095,1289
