tract,hhwrks0_,hhwrks1_,hhwrks2_,hhwrks3p_,ownkidsyes_,rentkidsyes_,ownkidsno_,rentkidsno_,county_fips,taz,weight
06001422400,0,0,0,0,0,0,0,0,06001,1021,1.0
06001422500,0,0,0,0,0,0,0,0,06001,1020,1.0
06001422700,0,0,0,0,0,0,0,0,06001,1007,1.0
06001422800,0,0,0,0,0,0,0,0,06001,1008,1.0
06001422901,0,0,0,0,0,0,0,0,06001,,
06001422902,0,0,0,0,0,0,0,0,06001,1018,1.0
06001423000,0,0,0,0,0,0,0,0,06001,1017,1.0
06001423100,0,0,0,0,0,0,0,0,06001,1016,1.0
06001423200,0,0,0,0,0,0,0,0,06001,1015,1.0
06001423300,0,0,0,0,0,0,0,0,06001,1013,1.0
06001423400,0,0,0,0,0,0,0,0,06001,1012,1.0
06001423500,0,0,0,0,0,0,0,0,06001,1011,1.0
06001423601,0,0,0,0,0,0,0,0,06001,1010,1.0
06001423602,0,0,0,0,0,0,0,0,06001,1009,1.0
06001423700,0,0,0,0,0,0,0,0,06001,1006,1.0
06001423800,0,0,0,0,0,0,0,0,06001,1004,1.0
06001423901,0,0,0,0,0,0,0,0,06001,1002,1.0
06001423902,0,0,0,0,0,0,0,0,06001,1003,1.0
06001424001,0,0,0,0,0,0,0,0,06001,995,1.0
06001424002,0,0,0,0,0,0,0,0,06001,994,1.0
06001425101,0,0,0,0,0,0,0,0,06001,,
06001425102,0,0,0,0,0,0,0,0,06001,,
06001425103,0,0,0,0,0,0,0,0,06001,,
06001425104,0,0,0,0,0,0,0,0,06001,991,1.0
06001426100,0,0,0,0,0,0,0,0,06001,918,1.0
06001426200,0,0,0,0,0,0,0,0,06001,917,1.0
06001427100,0,0,0,0,0,0,0,0,06001,949,1.0
06001427200,0,0,0,0,0,0,0,0,06001,948,1.0
06001427300,0,0,0,0,0,0,0,0,06001,960,1.0
06001427600,0,0,0,0,0,0,0,0,06001,962,1.0
06001427700,0,0,0,0,0,0,0,0,06001,963,1.0
06001427800,0,0,0,0,0,0,0,0,06001,959,1.0
06001427900,0,0,0,0,0,0,0,0,06001,956,1.0
06001428000,0,0,0,0,0,0,0,0,06001,955,1.0
06001428100,0,0,0,0,0,0,0,0,06001,950,1.0
