tract,gq_inst_m_0017,gq_noninst_m_0017_univ,gq_noninst_m_0017_mil,gq_noninst_m_0017_oth,gq_inst_m_1864,gq_noninst_m_1864_univ,gq_noninst_m_1864_mil,gq_noninst_m_1864_oth,gq_inst_m_65p,gq_noninst_m_65p_univ,gq_noninst_m_65p_mil,gq_noninst_m_65p_oth,gq_inst_f_0017,gq_noninst_f_0017_univ,gq_noninst_f_0017_mil,gq_noninst_f_0017_oth,gq_inst_f_1864,gq_noninst_f_1864_univ,gq_noninst_f_1864_mil,gq_noninst_f_1864_oth,gq_inst_f_65p,gq_noninst_f_65p_univ,gq_noninst_f_65p_mil,gq_noninst_f_65p_oth,county_fips,County_Name
06001404200,0,1,0,0,0,35,0,3,0,0,0,0,0,2,0,0,0,65,0,4,0,0,0,1,001,Alameda
06001404300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001404400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001404501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001404502,0,0,0,3,0,0,0,6,0,0,0,2,0,0,0,1,0,0,0,14,0,0,0,3,001,Alameda
06001404600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001404700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001404800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001404900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001409100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001408800,0,0,0,13,0,0,0,114,0,0,0,0,0,0,0,15,0,0,0,63,0,0,0,0,001,Alameda
06001408900,0,0,0,19,0,0,0,118,0,0,0,7,0,0,0,8,0,0,0,71,0,0,0,5,001,Alameda
06001409000,0,0,0,10,0,0,0,397,0,0,0,72,0,0,0,11,0,0,0,223,0,0,0,36,001,Alameda
06001409200,0,0,0,0,0,0,0,27,0,0,0,8,0,0,0,0,0,0,0,18,0,0,0,12,001,Alameda
06001409300,21,0,0,0,0,0,0,57,0,0,0,7,25,0,0,0,0,0,0,23,0,0,0,4,001,Alameda
06001409400,0,0,0,2,0,0,0,44,0,0,0,9,0,0,0,8,0,0,0,41,0,0,0,4,001,Alameda
06001409500,0,0,0,0,0,0,0,104,0,0,0,2,0,0,0,5,0,0,0,90,0,0,0,0,001,Alameda
06001409600,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,001,Alameda
06001409700,0,0,0,2,0,0,0,29,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,001,Alameda
06001409800,0,0,0,1,0,0,0,31,0,0,0,1,0,0,0,1,3,0,0,29,0,0,0,1,001,Alameda
06001409900,0,0,0,2,6,0,0,12,3,0,0,2,0,0,0,1,2,0,0,5,3,0,0,0,001,Alameda
06001410000,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,001,Alameda
06001410100,0,0,0,0,4,0,0,1,4,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,001,Alameda
06001410200,0,0,0,3,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,001,Alameda
06001410300,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,001,Alameda
06001410400,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,001,Alameda
06001410500,0,0,0,27,0,0,0,138,0,0,0,1,0,0,0,20,0,0,0,79,0,0,0,0,001,Alameda
06001420100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001420200,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,5,001,Alameda
06001420301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001420302,0,0,0,1,0,0,0,4,0,0,0,4,0,0,0,2,0,0,0,7,0,0,0,1,001,Alameda
06001420401,0,3,0,2,0,286,0,5,0,0,0,1,0,0,0,2,0,309,0,8,0,0,0,4,001,Alameda
06001420402,0,5,0,3,0,270,0,34,0,0,0,4,0,3,0,4,0,347,0,34,0,0,0,3,001,Alameda
06001420500,0,0,0,1,0,0,0,4,3,0,0,2,0,0,0,3,1,0,0,3,6,0,0,0,001,Alameda
06001420600,0,0,0,3,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,001,Alameda
06001421100,0,0,0,1,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,001,Alameda
06001421200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001421300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001421400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001421500,0,0,0,0,0,12,0,10,0,0,0,8,0,0,0,0,0,16,0,1,0,0,0,0,001,Alameda
06001421600,0,0,0,0,0,0,0,8,0,0,0,37,0,0,0,1,0,0,0,9,0,0,0,34,001,Alameda
06001421700,0,0,0,0,0,0,0,16,0,0,0,3,0,0,0,1,0,0,0,17,0,0,0,1,001,Alameda
06001421800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001421900,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,2,001,Alameda
06001422000,0,0,0,56,0,0,0,787,0,0,0,35,0,0,0,119,0,0,0,530,0,0,0,6,001,Alameda
06001422100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001422200,0,0,0,2,0,0,0,17,0,0,0,3,0,0,0,6,0,0,0,7,0,0,0,7,001,Alameda
06001422300,0,0,0,0,0,0,0,20,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,4,001,Alameda
06001422400,0,0,0,0,0,0,0,29,0,0,0,5,0,0,0,2,0,0,0,28,0,0,0,2,001,Alameda
06001422500,0,14,0,0,0,893,0,50,0,0,0,11,0,3,0,0,0,1008,0,7,0,0,0,0,001,Alameda
06001405901,0,0,0,6,0,0,0,86,0,0,0,15,0,0,0,4,0,0,0,85,0,0,0,4,001,Alameda
06001405902,0,0,0,1,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,001,Alameda
06001406000,0,0,1,32,0,0,86,302,0,0,0,48,0,0,0,19,0,0,20,353,0,0,0,14,001,Alameda
06001406100,0,0,0,57,0,0,0,402,0,0,0,1,0,0,0,12,0,0,0,360,0,0,0,1,001,Alameda
06001406201,0,0,0,0,32,0,0,20,5,0,0,1,0,0,0,0,4,0,0,16,0,0,0,3,001,Alameda
06001406202,0,0,0,0,52,0,0,0,59,0,0,0,0,0,0,0,27,0,0,0,47,0,0,0,001,Alameda
06001406300,0,0,0,3,0,0,0,23,0,0,0,2,0,0,0,2,0,0,0,7,0,0,0,0,001,Alameda
06001406400,0,0,0,0,18,0,0,14,108,0,0,10,0,0,0,3,18,0,0,16,163,0,0,13,001,Alameda
06001406500,0,0,0,1,0,0,0,26,3,0,0,2,0,0,0,1,0,0,0,12,9,0,0,4,001,Alameda
06001406601,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,001,Alameda
06001406602,0,0,0,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,2,001,Alameda
06001406700,0,0,0,5,0,0,0,134,0,0,0,0,0,0,0,8,0,0,0,90,0,0,0,0,001,Alameda
06001406800,1,0,0,4,3,0,0,12,0,0,0,2,1,0,0,8,0,0,0,6,0,0,0,3,001,Alameda
06001406900,0,0,0,1,0,0,0,3,0,0,0,4,0,0,0,1,0,0,0,6,0,0,0,2,001,Alameda
06001407000,0,0,0,0,6,0,0,10,15,0,0,14,0,0,0,1,14,0,0,0,26,0,0,3,001,Alameda
06001407101,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,001,Alameda
06001407102,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,001,Alameda
06001407200,0,0,0,3,2,0,0,8,0,0,0,5,0,0,0,7,12,0,0,3,2,0,0,17,001,Alameda
06001407300,0,0,0,107,0,0,0,497,0,0,0,31,0,0,0,125,0,0,0,300,0,0,0,6,001,Alameda
06001407400,0,0,0,2,0,0,0,21,0,0,0,3,0,0,0,5,0,0,0,13,0,0,0,10,001,Alameda
06001407500,0,0,0,2,26,0,0,24,26,0,0,2,0,0,0,4,9,0,0,9,20,0,0,0,001,Alameda
06001407600,0,0,0,0,0,0,0,17,0,0,0,13,0,0,0,0,0,0,0,18,0,0,0,5,001,Alameda
06001407700,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001407800,0,3,0,0,0,26,0,1,0,0,0,0,0,0,0,2,0,247,0,31,0,0,0,0,001,Alameda
06001407900,3,0,0,0,0,0,0,11,0,0,0,3,1,0,0,0,0,0,0,5,0,0,0,1,001,Alameda
06001408000,0,0,0,0,2,43,0,0,27,0,0,0,0,0,0,0,2,64,0,0,60,0,0,0,001,Alameda
06001408100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001408200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001408300,0,0,0,3,0,0,0,10,0,0,0,2,0,0,0,3,0,0,0,9,0,0,0,4,001,Alameda
06001408400,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,6,001,Alameda
06001408500,0,0,0,0,1,0,0,6,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,001,Alameda
06001408600,4,0,0,10,0,0,0,64,0,0,0,0,7,0,0,13,0,0,0,62,0,0,0,11,001,Alameda
06001408700,1,0,0,5,4,0,0,20,0,0,0,0,3,0,0,1,16,0,0,7,2,0,0,0,001,Alameda
06001405301,0,0,0,0,7,0,0,10,15,0,0,0,0,0,0,0,4,0,0,20,16,0,0,0,001,Alameda
06001405000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,1,001,Alameda
06001405100,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,001,Alameda
06001405200,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,001,Alameda
06001405302,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,16,0,0,0,5,001,Alameda
06001405401,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,1,0,0,3,14,0,0,9,001,Alameda
06001405402,0,0,0,0,12,0,0,0,13,0,0,0,0,0,0,0,6,0,0,0,41,0,0,0,001,Alameda
06001405500,0,0,0,2,0,0,0,25,0,0,0,7,0,0,0,0,0,0,0,47,0,0,0,3,001,Alameda
06001405600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001405700,0,0,0,2,3,0,0,1,19,0,0,0,0,0,0,0,2,0,0,5,29,0,0,1,001,Alameda
06001405800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001440307,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,2,0,0,0,3,0,0,0,5,001,Alameda
06001440304,6,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,001,Alameda
06001440305,0,0,0,0,0,0,0,17,0,0,0,14,0,0,0,0,0,0,0,23,0,0,0,15,001,Alameda
06001440306,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,3,001,Alameda
06001440308,0,0,0,4,3,0,0,52,23,0,0,33,0,0,0,3,1,0,0,27,49,0,0,68,001,Alameda
06001440331,0,0,0,2,0,0,0,12,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,2,001,Alameda
06001440332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001440333,0,0,0,3,0,0,0,15,0,0,0,3,0,0,0,1,0,0,0,11,0,0,0,2,001,Alameda
06001440334,0,0,0,1,0,0,0,22,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,11,001,Alameda
06001440336,0,0,0,0,0,0,0,39,0,0,0,4,0,0,0,1,0,0,0,35,0,0,0,12,001,Alameda
06001440337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001440338,0,0,0,1,0,0,0,7,0,0,0,6,0,0,0,2,0,0,0,9,0,0,0,1,001,Alameda
06001441100,0,0,0,2,2,0,0,7,50,0,0,1,0,0,0,0,1,0,0,1,103,0,0,0,001,Alameda
06001441200,0,0,0,1,0,0,0,21,0,0,0,11,0,0,0,1,0,0,0,9,0,0,0,7,001,Alameda
06001441301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001441302,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,001,Alameda
06001441401,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,12,001,Alameda
06001441402,0,0,0,2,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,4,001,Alameda
06001441501,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,3,0,0,0,6,0,0,0,0,001,Alameda
06001441503,0,0,0,0,0,0,0,43,0,0,0,2,0,0,0,0,0,0,0,22,0,0,0,0,001,Alameda
06001441521,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,1,001,Alameda
06001441522,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,001,Alameda
06001441523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001441524,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,4,001,Alameda
06001441525,0,0,0,3,0,0,0,82,0,0,0,11,0,0,0,5,0,0,0,61,0,0,0,4,001,Alameda
06001441601,0,0,0,2,3,0,0,9,0,0,0,1,0,0,0,3,0,0,0,4,4,0,0,2,001,Alameda
06001441602,0,0,0,0,0,0,0,12,0,0,0,16,0,0,0,0,0,0,0,8,0,0,0,55,001,Alameda
06001441701,0,0,0,5,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,001,Alameda
06001441702,0,0,0,1,0,0,0,388,0,0,0,106,0,0,0,4,0,0,0,302,0,0,0,64,001,Alameda
06001441800,0,0,0,1,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,10,001,Alameda
06001441921,0,0,0,5,0,0,0,2,0,0,0,1,0,0,0,5,0,0,0,6,0,0,0,0,001,Alameda
06001441923,0,0,0,0,39,0,0,0,68,0,0,0,0,0,0,0,17,0,0,0,72,0,0,0,001,Alameda
06001441924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001441926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001441927,0,0,0,1,4,0,0,1,41,0,0,7,0,0,0,4,3,0,0,5,64,0,0,17,001,Alameda
06001441928,0,0,0,2,0,0,0,9,0,0,0,1,0,0,0,1,0,0,0,6,0,0,0,1,001,Alameda
06001441929,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,001,Alameda
06001442000,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,3,0,0,0,9,0,0,0,1,001,Alameda
06001442100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001442200,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,11,001,Alameda
06001423300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001423400,0,0,0,2,0,0,0,36,0,0,0,2,0,0,0,2,0,0,0,12,0,0,0,0,001,Alameda
06001423500,0,1,0,1,20,15,0,92,36,0,0,21,0,2,0,1,3,27,0,63,49,0,0,15,001,Alameda
06001423601,0,0,0,0,3,0,0,8,15,0,0,1,0,0,0,0,2,0,0,8,19,0,0,0,001,Alameda
06001423602,0,1,0,2,1,49,0,23,2,0,0,1,0,0,0,1,1,65,0,26,6,0,0,0,001,Alameda
06001423700,0,1,0,2,0,470,0,7,0,0,0,1,0,0,0,0,0,550,0,1,0,0,0,0,001,Alameda
06001423800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001423901,0,0,0,1,4,0,0,31,4,0,0,2,0,0,0,6,2,0,0,22,13,0,0,1,001,Alameda
06001423902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001424001,1,1,0,3,0,20,0,209,0,0,0,25,1,0,0,10,0,23,0,112,0,0,0,14,001,Alameda
06001424002,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,001,Alameda
06001425101,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,001,Alameda
06001425102,0,0,0,0,0,0,0,29,0,0,0,3,0,0,0,0,0,0,0,30,0,0,0,1,001,Alameda
06001425103,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,1,001,Alameda
06001425104,0,0,0,11,0,0,0,101,0,0,0,0,0,0,0,8,0,0,0,101,0,0,0,9,001,Alameda
06001426100,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,001,Alameda
06001426200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001427100,0,0,0,0,22,0,0,0,40,0,0,0,0,0,0,0,17,0,0,0,100,0,0,0,001,Alameda
06001427200,0,0,0,2,0,0,79,2,0,0,0,3,0,0,0,0,0,0,25,3,0,0,0,2,001,Alameda
06001427300,0,0,0,8,0,0,0,151,0,0,0,5,0,0,0,5,0,0,0,137,0,0,0,8,001,Alameda
06001427600,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,4,0,0,0,32,0,0,0,001,Alameda
06001427700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001427800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001427900,0,0,0,1,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,001,Alameda
06001428000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001422901,0,2,0,3,0,72,0,20,0,0,0,4,0,0,0,0,0,60,0,4,0,2,0,2,001,Alameda
06001422700,0,1,0,0,0,1148,0,4,0,0,0,3,0,0,0,0,0,1191,0,0,0,0,0,1,001,Alameda
06001422800,0,34,0,3,0,3755,0,53,0,0,0,10,0,29,0,0,0,3546,0,9,0,0,0,2,001,Alameda
06001422902,0,0,0,4,0,0,0,275,0,0,0,24,0,0,0,5,0,0,0,84,0,0,0,0,001,Alameda
06001423000,0,4,0,4,0,19,0,112,0,0,0,11,0,4,0,0,0,9,0,18,0,1,0,0,001,Alameda
06001423100,0,3,0,1,0,64,0,10,16,0,0,3,0,1,0,0,1,54,0,6,29,0,0,0,001,Alameda
06001423200,4,0,0,3,2,0,0,49,0,0,0,0,1,0,0,4,0,0,0,4,0,0,0,0,001,Alameda
06001428100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001428200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001428301,0,0,0,1,0,0,0,22,0,0,0,2,0,0,0,0,0,0,0,18,0,0,0,2,001,Alameda
06001428302,0,0,0,2,0,0,0,8,17,0,0,0,0,0,0,1,4,0,0,4,47,0,0,3,001,Alameda
06001428400,0,0,0,0,37,0,0,0,86,0,0,0,0,0,0,0,18,0,0,0,155,0,0,0,001,Alameda
06001428500,0,0,0,0,14,0,0,6,17,0,0,4,0,0,0,0,7,0,0,3,19,0,0,1,001,Alameda
06001428600,0,0,0,1,13,0,0,2,26,0,0,1,0,0,0,1,16,0,0,3,47,0,0,2,001,Alameda
06001428700,0,0,0,6,2,0,0,25,32,0,0,3,0,0,0,5,4,0,0,12,123,0,0,0,001,Alameda
06001430101,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,001,Alameda
06001430102,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,6,001,Alameda
06001430500,9,0,0,0,112,0,0,12,27,0,0,2,7,0,0,0,43,0,0,1,9,0,0,3,001,Alameda
06001430200,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0,1,6,0,0,0,48,0,0,2,001,Alameda
06001430300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001430400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001430600,0,0,0,3,5,0,0,6,0,0,0,2,0,0,0,3,0,0,0,1,7,0,0,2,001,Alameda
06001430700,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,5,001,Alameda
06001430800,0,0,0,1,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,2,001,Alameda
06001430900,0,0,0,0,15,0,0,5,30,0,0,12,0,0,0,0,9,0,0,4,37,0,0,27,001,Alameda
06001431000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001431100,0,0,0,1,3,0,0,5,14,0,0,2,0,0,0,2,5,0,0,3,25,0,0,7,001,Alameda
06001431200,0,0,0,2,7,0,0,5,34,0,0,9,0,0,0,1,9,0,0,10,57,0,0,5,001,Alameda
06001432100,0,0,0,13,0,0,0,98,0,0,0,11,0,0,0,6,0,0,0,70,0,0,0,12,001,Alameda
06001432200,0,0,0,0,0,0,0,6,0,0,0,14,0,0,0,0,0,0,0,4,0,0,0,36,001,Alameda
