,county,grouping,universe,share,dataset
97,Marin,"Total: Taxicab, motorcycle, bicycle, or other means: 1 vehicle available",1454,0.4020028256319656,2023 ACS 1 Year
98,Marin,"Total: Taxicab, motorcycle, bicycle, or other means: 2 vehicles available",1062,0.2936224214725911,2023 ACS 1 Year
99,Marin,"Total: Taxicab, motorcycle, bicycle, or other means: 3 or more vehicles available",887,0.24523831247287034,2023 ACS 1 Year
100,Marin,Total: Worked from home:,31848,8.805354876703467,2023 ACS 1 Year
101,Marin,Total: Worked from home: No vehicle available,303,0.0837736287252308,2023 ACS 1 Year
102,Marin,Total: Worked from home: 1 vehicle available,8446,2.3351553406379515,2023 ACS 1 Year
103,Marin,Total: Worked from home: 2 vehicles available,13796,3.814326672915129,2023 ACS 1 Year
104,Marin,Total: Worked from home: 3 or more vehicles available,9303,2.5720992344251554,2023 ACS 1 Year
106,Napa,Total: No vehicle available,3296,1.6467320163474124,2023 ACS 1 Year
107,Napa,Total: 1 vehicle available,9831,4.911717977157588,2023 ACS 1 Year
108,Napa,Total: 2 vehicles available,26950,13.46463223318045,2023 ACS 1 Year
109,Napa,Total: 3 or more vehicles available,26641,13.31025110664788,2023 ACS 1 Year
110,Napa,"Total: Car, truck, or van - drove alone:",46679,23.321542412342495,2023 ACS 1 Year
111,Napa,"Total: Car, truck, or van - drove alone: No vehicle available",715,0.357224936798665,2023 ACS 1 Year
112,Napa,"Total: Car, truck, or van - drove alone: 1 vehicle available",6639,3.316945951617255,2023 ACS 1 Year
113,Napa,"Total: Car, truck, or van - drove alone: 2 vehicles available",20072,10.02827822576616,2023 ACS 1 Year
114,Napa,"Total: Car, truck, or van - drove alone: 3 or more vehicles available",19253,9.619093298160417,2023 ACS 1 Year
115,Napa,"Total: Car, truck, or van - carpooled:",6151,3.073133687060963,2023 ACS 1 Year
116,Napa,"Total: Car, truck, or van - carpooled: No vehicle available",2033,1.0157178972191412,2023 ACS 1 Year
117,Napa,"Total: Car, truck, or van - carpooled: 1 vehicle available",345,0.17236727719655867,2023 ACS 1 Year
118,Napa,"Total: Car, truck, or van - carpooled: 2 vehicles available",1472,0.7354337160386503,2023 ACS 1 Year
119,Napa,"Total: Car, truck, or van - carpooled: 3 or more vehicles available",2301,1.149614796606613,2023 ACS 1 Year
120,Napa,Total: Public transportation (excluding taxicab):,534,0.26679456818249947,2023 ACS 1 Year
121,Napa,Total: Public transportation (excluding taxicab): No vehicle available,0,0.0,2023 ACS 1 Year
122,Napa,Total: Public transportation (excluding taxicab): 1 vehicle available,95,0.047463453141081365,2023 ACS 1 Year
123,Napa,Total: Public transportation (excluding taxicab): 2 vehicles available,276,0.13789382175724693,2023 ACS 1 Year
124,Napa,Total: Public transportation (excluding taxicab): 3 or more vehicles available,163,0.0814372932841712,2023 ACS 1 Year
125,Napa,Total: Walked:,3332,1.6647181670114013,2023 ACS 1 Year
126,Napa,Total: Walked: No vehicle available,0,0.0,2023 ACS 1 Year
127,Napa,Total: Walked: 1 vehicle available,909,0.45415030426571545,2023 ACS 1 Year
128,Napa,Total: Walked: 2 vehicles available,1417,0.7079548747464453,2023 ACS 1 Year
129,Napa,Total: Walked: 3 or more vehicles available,1006,0.5026129879992406,2023 ACS 1 Year
130,Napa,"Total: Taxicab, motorcycle, bicycle, or other means:",1371,0.6849725711202374,2023 ACS 1 Year
131,Napa,"Total: Taxicab, motorcycle, bicycle, or other means: No vehicle available",293,0.14638728179301938,2023 ACS 1 Year
132,Napa,"Total: Taxicab, motorcycle, bicycle, or other means: 1 vehicle available",76,0.037970762512865096,2023 ACS 1 Year
133,Napa,"Total: Taxicab, motorcycle, bicycle, or other means: 2 vehicles available",633,0.3162564825084685,2023 ACS 1 Year
134,Napa,"Total: Taxicab, motorcycle, bicycle, or other means: 3 or more vehicles available",369,0.18435804430588446,2023 ACS 1 Year
135,Napa,Total: Worked from home:,8651,4.322171927615736,2023 ACS 1 Year
136,Napa,Total: Worked from home: No vehicle available,255,0.12740190053658682,2023 ACS 1 Year
137,Napa,Total: Worked from home: 1 vehicle available,1767,0.8828202284241135,2023 ACS 1 Year
138,Napa,Total: Worked from home: 2 vehicles available,3080,1.5388151123634801,2023 ACS 1 Year
139,Napa,Total: Worked from home: 3 or more vehicles available,3549,1.7731346862915554,2023 ACS 1 Year
141,San Francisco,Total: No vehicle available,100440,7.370828865997539,2023 ACS 1 Year
142,San Francisco,Total: 1 vehicle available,188784,13.853988019100749,2023 ACS 1 Year
143,San Francisco,Total: 2 vehicles available,108724,7.978753461038594,2023 ACS 1 Year
144,San Francisco,Total: 3 or more vehicles available,56275,4.12976298719645,2023 ACS 1 Year
145,San Francisco,"Total: Car, truck, or van - drove alone:",136585,10.023343893491376,2023 ACS 1 Year
146,San Francisco,"Total: Car, truck, or van - drove alone: No vehicle available",7492,0.5498033638396411,2023 ACS 1 Year
