"ZONE","DISTRICT","SD","COUNTY","TOTHH","HHPOP","TOTPOP","EMPRES","SFDU","MFDU","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","TOTACRE","RESACRE","CIACRE","SHPOP62P","TOTEMP","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","RETEMPN","FPSEMPN","HEREMPN","AGREMPN","MWTEMPN","OTHEMPN","PRKCST","OPRKCST","AREATYPE","HSENROLL","COLLFTE","COLLPTE","TERMINAL","TOPOLOGY","ZERO","gqpop","hhlds"
"1021","19","19","4","1794.0","210.00881818736505","275.01901132041223","1049.0","325","1569","242.0","302.0","351.0","825.0","115","49.18596","65","0.16737","128.74402098839676","106","140","2436","425","448","331","680","1575","0","152","142","68","44","2","62","0","0","3.43619","2","0","5","1794.0"
"1022","19","19","4","1265.0","144.54181300689393","180.54181300689396","628.0","681","1254","177.0","281.0","340.0","882.0","136","79","24","0.18393","77.12326090968645","256","373","1940","721","592","72","93","122","0","91","35","0","0","3","0","0","0","1.71672","2","0","2","1265.0"
"1023","19","19","4","774.0","89.28071889302105","130.4139736100022","418.0","881","767","223.0","179.0","325.0","781.0","167","105","59","0.18008","51.29510740095479","193","309","1701","913","488","93","84","472","0","20","88","0","0","3","0","0","0","1.47291","2","0","65","774.0"
"1024","19","19","4","774.0","91.1267249483534","91.1267249483534","431.0","580","738","145.0","192.0","217.0","817.0","136","80","48","0.20329","52.89546298135364","124","361","1078","681","373","64","138","336","0","27","38","0","0","3","0","0","0","1.45072","3","0","0","774.0"
"1025","19","19","4","774.0","100.3415336290242","115.15441550275128","481.0","1320","496","213.0","148.0","225.0","1160.0","210","157","45","0.20136","59.03055576217138","337","518","1337","1124","642","77","71","435","0","53","41","0","0","4","0","0","0","1.37774","2","0","5","774.0"
"1026","19","19","4","623.0","83.57152251093264","83.57152251093264","394.0","698","222","37.0","36.0","84.0","633.0","133","104","29","0.24989","48.33192178158252","97","322","664","668","458","98","27","198","0","17","4","0","0","4","0","0","0","1.29364","1","0","0","623.0"
"1027","19","19","4","1228.0","134.155210143531","169.56192450786784","586.0","541","1123","238.0","252.0","308.0","979.0","144","113","25","0.20941","71.9059161055539","240","290","1706","752","627","439","429","831","0","71","49","86.61905","56.04762","2","0","0","0","3.76063","1","0","48","1228.0"
"1028","19","19","4","755.0","100.81504292007848","200.25724475494087","406.0","1428","280","165.0","77.0","124.0","1217.0","349","313","27","0.31319","50.00950682903845","232","324","1080","931","974","14","60","101","0","49","49","0","0","4","0","0","0","1.11072","1","0","8","755.0"
"1029","19","19","4","491.0","68.56065674756479","115.44255942662438","273.0","1583","114","156.0","152.0","398.0","2419.0","389","358","9","0.32439","33.46733680839918","199","541","1003","1137","998","29","74","82","0","5","37","0","0","4","0","133","21","1.10541","1","0","23","491.0"
"103","3","3","1","1763.0","228.55646034532444","244.67890144227303","1146.0","620","2316","427.0","119.0","356.0","1869.0","137","67","8","0.17831","158.71124674033018","315","135","2350","1482","670","186","208","577","0","28","33","0","61","2","1058","0","0","2.62186","1","0","6","1763.0"
"1030","19","19","4","661.0","87.24372941907465","107.24372941907464","366.0","847","26","64.0","31.0","81.0","708.0","182","178","4","0.41234","44.90069130016877","101","243","401","584","713","13","32","72","0","2","13","0","0","4","0","0","0","1.12121","1","0","0","661.0"
"1031","19","19","4","642.0","85.95360464429166","85.95360464429166","334.0","1495","43","23.0","48.0","179.0","1149.0","313","302","5","0.36247","41.00601942474522","203","454","690","1180","1123","38","151","154","0","33","100","0","0","4","0","0","0","1.16813","1","0","0","642.0"
"1032","19","19","4","718.0","104.33718281012608","104.33718281012608","435.0","637","41","38.0","36.0","64.0","524.0","115","111","3","0.34652","53.40658612818644","55","274","417","446","476","35","16","82","0","13","45","0","0","4","0","0","0","1.22058","1","0","0","718.0"
"1033","19","19","4","604.0","72.23741597041905","72.23741597041905","284.0","1480","245","309.0","179.0","258.0","1161.0","247","216","31","0.29853","34.82757208832221","217","555","974","1147","1043","305","308","810","0","59","56","0","0","4","0","0","0","1.43834","1","0","0","604.0"
"1034","19","19","4","755.0","107.36543134696844","120.36543134696844","441.0","1153","138","114.0","125.0","200.0","917.0","196","181","13","0.19946","54.07458054565484","232","810","765","1045","487","244","239","393","0","28","4","0","0","4","630","0","0","1.39388","1","0","9","755.0"
