"ZONE","SD","TOTACRE","RESACRE","CIACRE","SFDU","MFDU","PRKCST","OPRKCST","AREATYPE","HSENROLL","COLLFTE","COLLPTE","TOPOLOGY","TERMINAL","ZERO","DISTRICT","gqpop","TOTHH","HHPOP","TOTPOP","EMPRES","hhlds"
"1058","20","476","179","105","1417","727","0","0","3","0","0","0","3","1.70791","0","20","210","963.0","127.33347505699362","418.3334750569936","579.0","963.0"
"1059","20","3333","177","758","1233","1646","0","0","4","125","0","0","3","1.29608","0","20","3","2637.0","212.51835683278756","359.1819246042777","1252.0","2637.0"
"106","3","110","22.22288","38","134","3334","48","68","1","0","0","0","2","4.21579","0","3","242","2235.0","300.2025967467857","658.6030590409202","1472.0","2235.0"
"1060","20","420","148","107","1475","600","0","0","4","0","0","0","3","1.59814","0","20","20","642.0","110.13169197832462","223.20526596564895","431.0","642.0"
"1061","20","318","141.54024","79","1394","1046","0","0","3","900","0","0","3","1.70934","0","20","199","1674.0","204.80063831507107","235.80063831507107","802.0","1674.0"
"1062","20","9761","113","2631","1089","861","0","0","5","0","0","0","1","0.98918","0","20","3","1834.0","163.7717179980028","173.7717179980028","976.0","1834.0"
"1063","20","301","127","54","1243","802","0","0","3","0","0","0","3","1.73691","0","20","7","963.0","153.22929766643142","193.22929766643142","700.0","963.0"
"1064","20","207","99","24","929","234","0","0","4","0","0","0","3","1.59746","0","20","0","642.0","95.92474084351706","130.92474084351704","440.0","642.0"
"1065","20","388","215","54","2057","273","0","0","4","1947","0","0","3","1.48532","0","20","25","619.0","81.47691707160016","139.47691707160016","488.0","619.0"
"1066","20","401","126","92","929","1617","0","0","4","0","0","0","2","2.3201","0","20","23","3462.0","359.13930904074783","733.1393090407478","1640.0","3462.0"
"1067","20","357","176","64","1767","775","0","0","4","0","0","0","3","1.65323","0","20","43","1697.0","239.14579350259737","243.02847680992966","1029.0","1697.0"
"1068","20","3921","123","605","1288","378","0","0","5","0","0","0","3","1.10253","0","20","124","596.0","103.38203324022587","488.38203324022584","495.0","596.0"
"1069","20","7997","429","805.17316","2228","2154","0","0","4","525","0","0","1","1.32759","0","20","16","3829.0","377.6728067303944","397.73799811795425","1894.0","3829.0"
"107","3","223","10","106","126","687","52.35999","74.17666","1","0","197","0","2","4.17095","0","3","231","834.0","105.2773086386692","838.2773086386692","573.0","834.0"
"1070","20","245","152","21","984","315","0","0","4","0","0","0","1","1.42759","0","20","6","1421.0","216.66040114748614","216.75590426413797","1030.0","1421.0"
"1071","20","266","156","45","1290","582","0","0","4","0","0","0","3","1.47931","0","20","0","1972.0","308.5328264265437","308.5328264265437","1386.0","1972.0"
"1072","20","328","121","122","1278","558","0","0","4","408","1909","5143","2","1.46982","0","20","2","1765.0","251.8303558524171","261.83035585241714","1185.0","1765.0"
"1073","20","429","211","81","1330","703","0","0","4","0","0","0","1","1.2738","0","20","18","2545.0","299.15467152966573","332.15467152966573","1528.0","2545.0"
"1074","20","1081","491","181","2314","593","0","0","4","14","0","0","1","1.30191","0","20","24","3370.0","418.4884941149296","482.4884941149296","1990.0","3370.0"
"1075","20","372","134","58","762","346","0","0","4","0","0","0","1","1.31011","0","20","3","1100.0","131.9458800919431","164.20038147698466","652.0","1100.0"
"1076","20","331","181","35","1230","81","0","0","4","7","0","0","1","1.203","0","20","0","1490.0","160.5058342946995","180.26844557066389","864.0","1490.0"
"1077","20","3869","398","76","1538","557","0","0","4","0","0","0","1","1.15238","0","20","5","1926.0","232.8154023598151","272.65778646577536","1221.0","1926.0"
"1078","20","551","345","93","1283","456","0","0","4","1329","0","0","1","1.18372","0","20","24","2155.0","282.0061427764986","303.0061427764986","1502.0","2155.0"
